dir,speed,prob
160,4.4,7.11E-06
170,4.4,7.11E-06
170,4.8,7.11E-06
180,5.9,7.11E-06
180,5.4,7.11E-06
170,5,7.11E-06
180,4.7,7.11E-06
170,5.1,7.11E-06
170,5.1,7.11E-06
180,4.4,7.11E-06
180,4.3,7.11E-06
170,4.4,7.11E-06
170,4.8,7.11E-06
170,4.6,7.11E-06
170,4,7.11E-06
180,4,7.11E-06
180,4.2,7.11E-06
180,3.7,7.11E-06
180,3.8,7.11E-06
180,3.6,7.11E-06
180,3.7,7.11E-06
180,3.3,7.11E-06
190,3,7.11E-06
190,2.8,7.11E-06
190,2.9,7.11E-06
200,2.8,7.11E-06
190,2.9,7.11E-06
200,2.6,7.11E-06
190,2.5,7.11E-06
190,2.4,7.11E-06
180,2.4,7.11E-06
190,2.1,7.11E-06
200,2,7.11E-06
190,2.2,7.11E-06
190,2.2,7.11E-06
190,1.9,7.11E-06
190,1.8,7.11E-06
190,1.6,7.11E-06
180,1.3,7.11E-06
170,1.2,7.11E-06
160,1.1,7.11E-06
170,1.1,7.11E-06
190,0.8,7.11E-06
210,0.7,7.11E-06
220,0.5,7.11E-06
190,0.1,7.11E-06
200,0.1,7.11E-06
190,0.4,7.11E-06
190,0.6,7.11E-06
180,0.7,7.11E-06
140,0.8,7.11E-06
90,0.9,7.11E-06
100,1.2,7.11E-06
110,1.3,7.11E-06
120,1.5,7.11E-06
130,1.3,7.11E-06
140,1.3,7.11E-06
160,1.6,7.11E-06
160,1.6,7.11E-06
150,1.9,7.11E-06
160,1.6,7.11E-06
150,1.5,7.11E-06
140,1.3,7.11E-06
130,0.8,7.11E-06
130,1.1,7.11E-06
140,1.1,7.11E-06
150,1.2,7.11E-06
150,1,7.11E-06
130,0.7,7.11E-06
100,0.5,7.11E-06
130,0.6,7.11E-06
70,0.6,7.11E-06
70,0.4,7.11E-06
150,0.6,7.11E-06
170,0.8,7.11E-06
190,0.9,7.11E-06
200,1.1,7.11E-06
200,1.4,7.11E-06
200,1.2,7.11E-06
190,1.4,7.11E-06
190,1.4,7.11E-06
200,1.2,7.11E-06
200,0.9,7.11E-06
200,0.8,7.11E-06
190,0.7,7.11E-06
200,0.8,7.11E-06
180,0.8,7.11E-06
170,1.1,7.11E-06
180,1.2,7.11E-06
180,1.2,7.11E-06
180,1.3,7.11E-06
190,1.4,7.11E-06
190,1.6,7.11E-06
180,1.4,7.11E-06
180,1.1,7.11E-06
180,1.3,7.11E-06
180,1.6,7.11E-06
170,1.9,7.11E-06
170,2.1,7.11E-06
170,1.8,7.11E-06
170,1.7,7.11E-06
